DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 1.84 184 0.372 -0.212 -0.514 0.005 -0.015 -0.001 -0.609 0.336 -1.330
1 1.85 185 0.380 -0.218 -0.522 0.013 -0.012 -0.014 0.878 0.349 -1.291
1 1.86 186 0.380 -0.240 -0.553 0.001 -0.038 -0.054 -1.252 -2.616 -3.984
1 1.87 187 0.382 -0.241 -0.532 0.003 -0.003 0.037 0.193 3.519 9.072
1 1.88 188 0.383 -0.242 -0.498 0.001 -0.000 0.060 -0.175 0.226 2.288
1 1.89 189 0.386 -0.235 -0.439 0.007 0.011 0.101 0.577 1.137 4.196
1 1.90 190 0.383 -0.239 -0.426 -0.005 -0.006 0.024 -1.216 -1.698 -7.757
1 1.91 191 0.381 -0.241 -0.391 -0.005 -0.004 0.061 0.077 0.220 3.717
1 1.92 192 0.371 -0.235 -0.357 -0.016 0.010 0.059 -1.179 1.401 -0.201
1 1.93 193 0.370 -0.236 -0.341 -0.003 -0.003 0.027 1.376 -1.298 -3.161
1 1.94 194 0.371 -0.241 -0.349 0.002 -0.007 -0.014 0.463 -0.456 -4.171
1 1.95 195 0.364 -0.239 -0.376 -0.013 0.002 -0.046 -1.468 0.932 -3.147
1 1.96 196 0.375 -0.251 -0.349 0.020 -0.021 0.046 3.262 -2.258 9.203
1 1.97 197 0.377 -0.252 -0.355 0.003 -0.001 -0.010 -1.720 1.954 -5.646
1 1.98 198 0.384 -0.258 -0.367 0.013 -0.012 -0.021 1.015 -1.061 -1.040
1 1.99 199 0.390 -0.270 -0.381 0.010 -0.021 -0.026 -0.275 -0.924 -0.498
1 2.00 200 0.395 -0.294 -0.418 0.009 -0.042 -0.065 -0.097 -2.124 -3.897
1 2.01 201 0.397 -0.297 -0.397 0.003 -0.005 0.037 -0.570 3.693 10.188
1 2.02 202 0.398 -0.303 -0.371 0.000 -0.011 0.044 -0.305 -0.549 0.701
1 2.03 203 0.397 -0.303 -0.342 -0.000 -0.000 0.051 -0.084 1.044 0.619
